#,Municipio,Población (censo 2022),Departamento
1,Asunción,462241,Distrito Capital
2,Ciudad del Este,325819,Alto Paraná
3,Luque,259705,Central
4,Capiatá,236999,Central
5,San Lorenzo,225395,Central
6,Limpio,139652,Central
7,Pedro Juan Caballero,127437,Amambay
8,Lambaré,127150,Central
9,Ñemby,116383,Central
10,Fernando de la Mora,110255,Central
11,Encarnación,106842,Itapúa
12,Coronel Oviedo,98323,Caaguazú
13,Caaguazú,98200,Caaguazú
14,Itauguá,93213,Central
15,Presidente Franco,88744,Alto Paraná
16,Mariano Roque Alonso,85133,Central
17,Hernandarias,83285,Alto Paraná
18,Minga Guazú,81072,Alto Paraná
19,Concepción,73360,Concepción
20,Villa Elisa,71383,Central
21,Areguá,70298,Central
22,Itá,69049,Central
23,Ypané,66700,Central
24,Villarrica,62565,Guairá
25,Julián Augusto Saldívar,60162,Central
26,San Antonio,57843,Central
27,Caacupé,50409,Cordillera
28,Villa Hayes,47967,Presidente Hayes
29,Cambyretá,47717,Itapúa
30,San Estanislao,46405,San Pedro
31,Santa Rosa del Aguaray,39643,San Pedro
32,Horqueta,39548,Concepción
33,Doctor Juan Eulogio Estigarribia,38894,Caaguazú
34,Villeta,35941,Central
35,Pilar,34741,Ñeembucú
36,Curuguaty,33561,Canindeyú
37,San Pedro de Ycuamandiyú,32267,San Pedro
38,Capiibary,30570,San Pedro
39,San Ignacio Guazú,29430,Misiones
40,Carapeguá,29351,Paraguarí
41,Yaguarón,29242,Paraguarí
42,Saltos del Guairá,28553,Canindeyú
43,San Juan Nepomuceno,28233,Caazapá
44,Guayaibí,28214,San Pedro
45,Guarambaré,27695,Central
46,Tobatí,27435,Cordillera
47,Itakyry,27340,Alto Paraná
48,Santa Rita,27249,Alto Paraná
49,Piribebuy,25758,Cordillera
50,Tomás Romero Pereira,25419,Itapúa
51,Repatriación,24459,Caaguazú
52,Caazapá,23654,Caazapá
53,Choré,23548,San Pedro
54,Yhú,22524,Caaguazú
55,San Pedro del Paraná,22318,Itapúa
56,Benjamín Aceval,22008,Presidente Hayes
57,Abaí,21964,Caazapá
58,Emboscada,21182,Cordillera
59,Ypacaraí,21030,Central
60,San Juan Bautista,20979,Misiones
61,Paraguarí,20678,Paraguarí
62,Filadelfia,20595,Boquerón
63,Paso Yobái,20562,Guairá
64,Loma Plata,20545,Boquerón
65,Doctor Juan Manuel Frutos,20451,Caaguazú
66,Yasy Cañy,20399,Canindeyú
67,Arroyos y Esteros,20347,Cordillera
68,Teniente Irala,20145,Presidente Hayes
69,Yby Yaú,19468,Concepción
70,Eusebio Ayala,19334,Cordillera
71,Independencia,19235,Guairá
72,Liberación,19100,San Pedro
73,Capitán Bado,18851,Amambay
74,Ybycuí,17972,Paraguarí
75,Pirayú,17419,Paraguarí
76,Edelira,17362,Itapúa
77,Ayolas,17337,Misiones
78,Coronel Bogado,17192,Itapúa
79,General Elizardo Aquino,16971,San Pedro
80,Boquerón,16764,Boquerón
81,Tavaí,16409,Caazapá
82,Santa Rosa de Lima,16403,Misiones
83,Doctor Juan León Mallorquín,16144,Alto Paraná
84,Juan Emiliano O'Leary,16092,Alto Paraná
85,Atyrá,15988,Cordillera
86,Maracaná,15357,Canindeyú
87,Yuty,14924,Caazapá
88,Natalio,14865,Itapúa
89,Quiindy,14488,Paraguarí
90,Altos,14461,Cordillera
91,San Rafael del Paraná,14166,Itapúa
92,San José de los Arroyos,13926,Caaguazú
93,Tacuatí,13847,San Pedro
94,Carlos Antonio López,13792,Itapúa
95,Obligado,13606,Itapúa
96,Loreto,13580,Concepción
97,Mariscal Estigarribia,13174,Boquerón
98,Villa Ygatimí,13074,Canindeyú
99,Tres de Mayo,12923,Caazapá
100,Tembiaporá,12877,Caaguazú
101,Hohenau,12809,Itapúa
102,Acahay,12646,Paraguarí
103,Raúl Arsenio Oviedo,12543,Caaguazú
104,Yby Pytá,12284,Canindeyú
105,Yrybucuá,12271,San Pedro
106,San Bernardino,12216,Cordillera
107,Bella Vista Norte,12027,Amambay
108,Minga Porá,11959,Alto Paraná
109,San Joaquín,11949,Caaguazú
110,San Vicente Pancholo,11571,San Pedro
111,Alto Verá,11503,Itapúa
112,San Lázaro,11192,Concepción
113,San Alberto,11162,Alto Paraná
114,Nueva Esperanza,11069,Canindeyú
